search_terms,basin_code,basin_name,search_completed,basin_count,"Search Notes, Identify any issues ",over_ten_k,finished
Firth OR Joe OR Mancha,FRTH,Firth,N,"10,000+",,,
Gallegos OR CAPS(Chico),GALG,Gallegos/Chico,N,8275,,,
Gambia OR Sandougou,GAMB,Gambia,N,"10,000+",,,
Ganges OR Brahmaputra  OR Meghna OR Jamuna OR Yarlung OR Raka OR Maquan OR Yi'ong OR Arunavati OR Baitha Nalla OR Banjari Nalla OR Barotha Nalla OR Basuki OR Betwa OR Bhat OR Bhima OR Bhudna Nalla OR Bora Nala OR Bori Nalla OR Bori OR Brah Maputra OR Buchaopa Nala OR Budhabudiani OR Chakar OR Chambal OR Chandrakeshar OR Deogud OR Dhu'sia Nalla OR Dibgrajheda OR Dihang OR Dongrakheda OR Erai OR Gamori OR Gandak OR Ganji OR Gej OR Ghaghara OR Ghod OR Ghunghutta OR Gomati OR CAPS(Human) OR Jamni OR Jhumka OR Jhura OR Kanoli OR Kans OR Ken OR Khakra Jore OR Khaprar Nalla OR Kharpara OR Kims Nalla OR Koop Nalla OR Kundan Nalla OR Lakheri OR Local Drain OR Manas OR Mandale OR Maska Nalla OR Mayurakshi OR Momanpura OR Moti Nalla OR Mutki OR Nagda Nalla OR Negri OR Pahuj OR Paras OR Paronch OR Pathrai OR Phon OR Pip Nalla OR Rajewasti OR Rohini OR Sagar Betwa OR Sajnam OR Sampna OR Saprar OR Sarda OR Shahjad OR Shetfal Nalla OR Sijar OR Sind OR Sindh Nalla OR Sindh Yamuna OR Son OR Songhua OR Subarnarekha OR Surhi OR Takli Kheda OR Tapti OR Tisla OR Uttari Stream OR Vel OR Yamuna OR Arun OR Karnali OR Sapt Kosi OR Sun Kosi OR Tamur,GANG,Ganges-Brahmaputra-Meghna,N,"10,000+",,,
Gash,GASH,Gash,N,"5,002",,,
Grijalva OR Grijalva OR CAPS(Azul),GJLV,Grijalva,N,8069,,,
Affluent du Lot OR Agout OR Alrance OR Ariege OR Arrats OR Aveyron OR Bage OR Baise OR Ceret OR Cerou OR Dadou OR Dourdou OR Dropt OR Garonne OR Gelise OR Gers OR Gesse OR Gimone OR Labenede OR Lezert OR Lot OR Osse OR Save OR Tarn OR Tolerme OR CAPS(Touch) OR Truel OR Truyere OR Valescure OR Vebre OR Viaur OR Vioulou OR Ardila OR Campilhas OR Chanca OR Cobres OR Dogeba OR Odivelas OR Roxo OR Vale Diogo OR Vascao OR Xarrama,GRON,Garonne,N,"10,000+",,,
CAPS(Great) Scarcies,GSCR,Great Scarcies,N,"10,000+",,,
Anpyung OR Banbyon OR Bongjeon OR Buk OR Chachon OR Chongyong OR Chungdo OR Dae OR Donghwa OR Eumsung OR Gabsan OR Geumho OR Geumpo OR Gisegok OR Guan OR Gugeo OR Gumi OR Gupyung OR Gyungho OR CAPS(Han) OR Hangye OR Ieon OR Ilgwang OR Janggok OR Jangsu OR Jasan OR Jinchon OR Jinwi OR Jongri OR Joryong OR Jungdong OR Milwon OR Mulchi OR Munam OR Myungam OR Naega OR Naesung OR Nakdong OR Namhan OR Pumgok OR Sagae OR Samgi OR Seokhwa OR Soga OR Suyeong OR Suyong OR Wangjwa OR Woldong OR Yo OR Yongchon OR Yongge OR Yongwoon OR Chongryong OR Hanchon,HANX,Han,N,"10,000+",,,
Hari OR Harirud,HARI,Hari/Harirud,N,7991,,,
Ab-e Istadeh-ye OR Arghanadab OR Dasht-e Nuvar OR Hamuh-e  Puzak OR Helmand OR Rowd-e Lurah OR Tarnak OR Kor OR Sivand,HLMD,Helmand,N,"10,000+",,,
Hondo OR CAPS(Azul) ,HOND,Hondo,N,5808,,,
Har Us Nur,HRUN,Har Us Nur,N,"10,000+",,,
Indus OR Shiqnan OR Aarzan Garzan OR Beas OR Bodhegaon OR Gilgit OR Jogwada OR Koyna OR Kundlika OR Saraswati OR Sindphana OR Chenab OR Haro OR Jamergal OR Jhelum OR Kabul OR Khal Kass OR Kundar OR Manch har Lake OR Nain Sikh OR Ravi OR Saddle Dam OR Sutlej OR Swat OR Tain Pura OR Zhob,INDU,Indus,N,"10,000+",,,
Irrawaddy OR Daying OR Long Chuan OR Thoubal Turel OR Logtak Lake OR Chidwin OR Chindwin OR Chinthe OR Gedu OR Heinhtun OR Iudawgyi Lake OR Kaukkwe OR Kiu OR Kodan OR Lang OR CAPS(Ma) OR Mali OR Manipur OR Meza OR CAPS(Mon) OR Mu OR Myitnge OR Myittha OR Nampak OR Namyin OR Nat E-zu OR Nmai OR Pani OR Schweli OR Tainggwin OR Tamai OR Tarung OR Tizu-Nantaleik OR Uyn OR CAPS(Yao) OR CAPS(Yu) OR Zahaw,IRWD,Irrawaddy,N,"10,000+",,,
Jacobs,JCBS,Jacobs,N,"10,000+",,,
Jordan OR CAPS(Dead Sea) OR Sea of Galilee OR Nahr az Zarga OR Wadi al Jaydyb OR Yarmuk OR Hasbani,JORD,Jordan,N,"10,000+",,,
Juba OR Shibeli OR Baua OR Daketa OR Fafen OR Genale OR Jerer OR Ramis OR T'er OR Wabe Gestro OR Wabe Shebele OR Welmel OR Dawa OR Madax Gooy OR Webi Shabelle,JUBA,Juba-Shibeli,N,"10,000+",,,
Kowl E Namaksar,KOWL,Kowl E Namaksar,N,"10,000+",,,
Kura OR Araks OR Azat OR Lori OR Mingacevir Reservior OR Aragvi OR Iori OR Khrami OR Ahar OR Ajy Chay OR Aras OR Qareh,KURA,Kura-Araks,N,"10,000+",,,
Lotagipi Swamp,LGPS,Lotagipi Swamp,N,"10,000+",,,
CAPS(Lima) OR Laguna de Antela,LIMA,Lima,N,"10,000+",,,
Lake Azuei,LKAZ,Lake Azuei,N,,,,
Lake Chad OR Bamingui OR Bangoran OR Bongoul OR Goro OR Gribingui OR Kamear OR Manovo OR Ouandja OR Ouham OR Oulou OR Pende OR Vakaga OR Vassako OR Yata OR Dillia OR Tegouma OR Kano OR Katagum OR Komadugu Gana OR Ngadda OR Yedseram OR Wadi Tiwal OR Ba illi OR Bahr Aoak OR Bahr Azourn OR Bahr el Ghazal OR Soro OR Bahr Ergig OR Bahr Keita OR Doka OR Bahr Salamat OR Chari OR Logone,LKCH,Lake Chad,N,,,,
Lake Cayo,LKCY,Lake Cayo,N,,,,
Lake Enriquillo,LKEQ,Lake Enriquillo,N,,,,
Lake Fagnano,LKFN,Lake Fagnano,N,,,,
Lake Natron OR Ewaso Ng'iro,LKNT,Lake Natron,N,,,,
Lake Prespa OR Frankovishte OR Grabovice OR Grunjas OR Hyle OR Jame OR Mujaz OR P.pusave OR Plloce OR Stropske OR Vakefi,LKPP,Lake Prespa,N,,,,
Lake Sarygamesh,LKSG,Lake Sarygamesh,N,,,,
Lake Ubsa OR Nur,LKUN,Lake Ubsa-Nur,N,,,,
Lempa OR Lago de Guya OR CAPS(Grande) OR  Embalse Cerron Grande,LMPA,Lempa,N,,,,
Limpopo OR Changane OR Elands OR Great Brak OR Great Letaba OR Klein Olifants OR Olifants OR Oompies OR Bubi OR Insiza OR Mchabezi OR Mtshabezi OR Mwenezi OR Shashe OR Thali OR Tuli OR Umtsabezi OR Umzingwani,LMPO,Limpopo,N,,,,
CAPS(La Plata) OR Bermejito OR Cataratas del Iguaza OR Chunapampa OR CAPS(Corrientes) OR Esteros del Ibera OR Iruya OR Parama OR CAPS(Pasaje) OR Pilaga OR CAPS(Salado) OR Teuco OR Uruguay OR Banados de Otaguis OR Camblaya OR Pilaya OR Tucaraca OR Yura OR Amambai OR Apore OR Araguari OR Arantes OR Bois OR Capivara OR Cascatinha OR CAPS(Claro) OR Corrente OR Corumba OR Da Prata OR Doce OR CAPS(Grande) OR Iguacu OR Iguatemi OR Irinheima OR Itarare OR Ivai OR Jaguaribe OR Juramento OR Mata OR Meia Ponte OR Mosquito OR Mourao OR Mulungu OR Parado OR Paran OR Parana Panema OR Paranaiba OR Paranapanema OR Pardo OR Piquiri OR Piracicaba OR Pirapitinga OR Prata OR Saltodas Sete Quedas OR Santa Luzia OR Sao Joao OR Sao Marcos OR Sucaria OR Tibagi OR Tiete OR Turro OR Acaray OR Apa OR Confaso OR Iguazu OR Monte Lindo OR Negro OR Parana OR Pilcomayo OR Tebicaary OR Timane OR CAPS(Verde) OR Yapane,LPTA,La Plata,N,,,,
Lucia,LUCI,Lucia,N,,,,
CAPS(Ma) OR Het,MAXX,Ma,N,,,,
Mekong OR Aiche He OR Bi OR Buyuan OR Chas OR Cheng Jiang OR Han Jiang OR Lianjiang OR Liu Jiang OR Long Jiang OR Mei He OR Mengliu He OR Mengmei He OR Ngom OR Qin Jiang OR Rong Jiang OR Shaping He OR Subaihe OR Weiyuan OR Wuhua He OR Wuhuahe OR Wuxi He OR Yangbi OR Yangmei He OR Za OR Zi OR  Chas OR Chbar OR Chhloug OR Chuok OR Daum OR Krieng OR CAPS(Por) OR Porong OR Preas OR Prek Thnot OR San OR Sanker OR Sen OR Slaku OR Sreng OR Srepok OR Stung O'Chral OR CAPS(Te) OR Thnot OR Tonle Sap OR Bak OR Bang Fai OR Bang-Nouan OR Beng OR Champhon OR CAPS(Don) OR Kading OR Kaman OR Khan OR Kong OR Lanong OR Lik OR CAPS(Ma) OR CAPS(Met) OR Moun OR Nam Ngum Reservoir OR Ngao OR Ngay OR Ngiap OR Ngum OR Noy OR CAPS(On) OR CAPS(Ou) OR Pak OR Payou OR Pha OR Phoun OR Pouy OR Tha OR Xang OR Xangxoy OR Xeipan OR Xeng OR Xong OR Xou OR Hka OR Loi OR Nanlei OR Nanlan OR Chi OR Hung OR Ing OR Kok OR Mong OR Mun OR Nam Pong OR Nong Han OR Pao OR Songkharam OR Ubolratna Reservoir OR Banghiang OR Co Chien OR Drang OR Han Giang OR Hardrai OR Krong OR CAPS(Sun),MEKO,Mekong,N,,,,
Mississippi OR Milk OR CAPS(North Fork Milk) OR CAPS(South Fork Milk) OR Porcupine Creek OR Willow Creek OR Rock Creek OR Snake Creek OR Beaver Creek OR CAPS(Little Beaver Creek)  OR Frenchman OR Whitewater Creek OR Cottonwood OR Battle Creek OR Lodge Creek OR Box Elder Creek OR Big Sandy Creek OR Sage Creek OR Verdigris Couless Or CAPS(Middle Fork Milk) OR Musselshell River OR Poplar OR CAPS(West Fork Poplar) OR CAPS(West Poplar) OR CAPS(Middle Fork Poplar RIver) OR CAPS(East Fork Poplar) OR CAPS(Big Muddy Creek) OR CAPS(Smoke Creek) OR CAPS(Lake Creek) OR CAPS(Big Muddy Lake) OR CAPS(Red River)OR Ohio OR Missouri OR Arkansas OR Illinois OR Allegheny OR Tennessee OR CAPS(Salt Lake) OR Loomis Coulee OR CAPS(East Poplar) OR CAPS(Goose Creek) OR CAPS(Coal Creek) OR Morgan Creek OR CAPS(Rock Creek) OR CAPS(Horse Creek) OR La Berge Creek ,MISS,Mississippi,N,,,,
CAPS(Negro),NEGR,Negro,N,,,,
