index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,JUBA,Juba-Shibeli,06/30/2008,06/30/2012,,,,,
1,JUBA,Juba-Shibeli,07/01/2012,01/31/2014,,,,,
2,JUBA,Juba-Shibeli,02/01/2014,01/31/2016,,,,,
3,JUBA,Juba-Shibeli,02/01/2016,01/31/2018,,,,,
4,JUBA,Juba-Shibeli,02/01/2018,01/31/2020,,,,,
5,JUBA,Juba-Shibeli,02/01/2020,11/30/2021,,,,,
6,JUBA,Juba-Shibeli,12/01/2021,07/01/2023,,,,,
7,JUBA,Juba-Shibeli,07/02/2023,12/31/2023,,,,,
8,JUBA,Juba-Shibeli,01/02/2024,03/15/2023,,,,,
