index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
82,NELS,Nelson-Saskatchewan,2014-11-01,2014-11-30,,,,,
83,NELS,Nelson-Saskatchewan,2014-12-01,2014-12-31,,,,,
84,NELS,Nelson-Saskatchewan,2015-01-01,2015-01-31,,,,,
85,NELS,Nelson-Saskatchewan,2015-02-01,2015-02-28,,,,,
86,NELS,Nelson-Saskatchewan,2015-03-01,2015-03-31,,,,,
87,NELS,Nelson-Saskatchewan,2015-04-01,2015-04-30,,,,,
88,NELS,Nelson-Saskatchewan,2015-05-01,2015-05-31,,,,,
89,NELS,Nelson-Saskatchewan,2015-06-01,2015-06-30,,,,,
90,NELS,Nelson-Saskatchewan,2015-07-01,2015-07-31,,,,,
91,NELS,Nelson-Saskatchewan,2015-08-01,2015-08-31,,,,,
92,NELS,Nelson-Saskatchewan,2015-09-01,2015-09-30,,,,,
93,NELS,Nelson-Saskatchewan,2015-10-01,2015-10-31,,,,,
94,NELS,Nelson-Saskatchewan,2015-11-01,2015-11-30,,,,,
95,NELS,Nelson-Saskatchewan,2015-12-01,2015-12-31,,,,,
96,NELS,Nelson-Saskatchewan,2016-01-01,2016-01-31,,,,,
97,NELS,Nelson-Saskatchewan,2016-02-01,2016-02-29,,,,,
98,NELS,Nelson-Saskatchewan,2016-03-01,2016-03-31,,,,,
99,NELS,Nelson-Saskatchewan,2016-04-01,2016-04-30,,,,,
100,NELS,Nelson-Saskatchewan,2016-05-01,2016-05-31,,,,,
101,NELS,Nelson-Saskatchewan,2016-06-01,2016-06-30,,,,,
102,NELS,Nelson-Saskatchewan,2016-07-01,2016-07-31,,,,,
103,NELS,Nelson-Saskatchewan,2016-08-01,2016-08-31,,,,,
104,NELS,Nelson-Saskatchewan,2016-09-01,2016-09-30,,,,,
105,NELS,Nelson-Saskatchewan,2016-10-01,2016-10-31,,,,,
106,NELS,Nelson-Saskatchewan,2016-11-01,2016-11-30,,,,,
107,NELS,Nelson-Saskatchewan,2016-12-01,2016-12-31,,,,,
108,NELS,Nelson-Saskatchewan,2017-01-01,2017-01-31,,,,,
109,NELS,Nelson-Saskatchewan,2017-02-01,2017-02-28,,,,,
110,NELS,Nelson-Saskatchewan,2017-03-01,2017-03-31,,,,,
111,NELS,Nelson-Saskatchewan,2017-04-01,2017-04-30,,,,,
112,NELS,Nelson-Saskatchewan,2017-05-01,2017-05-31,,,,,
113,NELS,Nelson-Saskatchewan,2017-06-01,2017-06-30,,,,,
114,NELS,Nelson-Saskatchewan,2017-07-01,2017-07-31,,,,,
115,NELS,Nelson-Saskatchewan,2017-08-01,2017-08-31,,,,,
116,NELS,Nelson-Saskatchewan,2017-09-01,2017-09-30,,,,,
117,NELS,Nelson-Saskatchewan,2017-10-01,2017-10-31,,,,,
118,NELS,Nelson-Saskatchewan,2017-11-01,2017-11-30,,,,,
119,NELS,Nelson-Saskatchewan,2017-12-01,2017-12-31,,,,,
120,NELS,Nelson-Saskatchewan,2018-01-01,2018-01-31,,,,,
121,NELS,Nelson-Saskatchewan,2018-02-01,2018-02-28,,,,,
122,NELS,Nelson-Saskatchewan,2018-03-01,2018-03-31,,,,,
123,NELS,Nelson-Saskatchewan,2018-04-01,2018-04-30,,,,,
124,NELS,Nelson-Saskatchewan,2018-05-01,2018-05-31,,,,,
125,NELS,Nelson-Saskatchewan,2018-06-01,2018-06-30,,,,,
126,NELS,Nelson-Saskatchewan,2018-07-01,2018-07-31,,,,,
127,NELS,Nelson-Saskatchewan,2018-08-01,2018-08-31,,,,,
128,NELS,Nelson-Saskatchewan,2018-09-01,2018-09-30,,,,,
129,NELS,Nelson-Saskatchewan,2018-10-01,2018-10-31,,,,,
130,NELS,Nelson-Saskatchewan,2018-11-01,2018-11-30,,,,,
131,NELS,Nelson-Saskatchewan,2018-12-01,2018-12-31,,,,,
