index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
108,NILE,Nile,2020-04-01,2020-04-30,,,,,
109,NILE,Nile,2020-05-01,2020-05-31,,,,,
110,NILE,Nile,2020-06-01,2020-06-30,,,,,
111,NILE,Nile,2020-07-01,2020-07-31,,,,,
112,NILE,Nile,2020-08-01,2020-08-31,,,,,
113,NILE,Nile,2020-09-01,2020-09-30,,,,,
114,NILE,Nile,2020-10-01,2020-10-31,,,,,
115,NILE,Nile,2020-11-01,2020-11-30,,,,,
116,NILE,Nile,2020-12-01,2020-12-31,,,,,
117,NILE,Nile,2021-01-01,2021-01-31,,,,,
118,NILE,Nile,2021-02-01,2021-02-28,,,,,
119,NILE,Nile,2021-03-01,2021-03-31,,,,,
120,NILE,Nile,2021-04-01,2021-04-30,,,,,
121,NILE,Nile,2021-05-01,2021-05-31,,,,,
122,NILE,Nile,2021-06-01,2021-06-30,,,,,
123,NILE,Nile,2021-07-01,2021-07-31,,,,,
124,NILE,Nile,2021-08-01,2021-08-31,,,,,
125,NILE,Nile,2021-09-01,2021-09-30,,,,,
126,NILE,Nile,2021-10-01,2021-10-31,,,,,
127,NILE,Nile,2021-11-01,2021-11-30,,,,,
128,NILE,Nile,2021-12-01,2021-12-31,,,,,
129,NILE,Nile,2022-01-01,2022-01-31,,,,,
130,NILE,Nile,2022-02-01,2022-02-28,,,,,
131,NILE,Nile,2022-03-01,2022-03-31,,,,,
132,NILE,Nile,2022-04-01,2022-04-30,,,,,
133,NILE,Nile,2022-05-01,2022-05-31,,,,,
134,NILE,Nile,2022-06-01,2022-06-30,,,,,
135,NILE,Nile,2022-07-01,2022-07-31,,,,,
136,NILE,Nile,2022-08-01,2022-08-31,,,,,
137,NILE,Nile,2022-09-01,2022-09-30,,,,,
138,NILE,Nile,2022-10-01,2022-10-31,,,,,
139,NILE,Nile,2022-11-01,2022-11-30,,,,,
140,NILE,Nile,2022-12-01,2022-12-31,,,,,
141,NILE,Nile,2023-01-01,2023-01-31,,,,,
142,NILE,Nile,2023-02-01,2023-02-28,,,,,
143,NILE,Nile,2023-03-01,2023-03-31,,,,,
144,NILE,Nile,2023-04-01,2023-04-30,,,,,
145,NILE,Nile,2023-05-01,2023-05-31,,,,,
146,NILE,Nile,2023-06-01,2023-06-30,,,,,
147,NILE,Nile,2023-07-01,2023-07-31,,,,,
148,NILE,Nile,2023-08-01,2023-08-31,,,,,
149,NILE,Nile,2023-09-01,2023-09-30,,,,,
150,NILE,Nile,2023-10-01,2023-10-31,,,,,
151,NILE,Nile,2023-11-01,2023-11-30,,,,,
152,NILE,Nile,2023-12-01,2023-12-31,,,,,
153,NILE,Nile,2024-01-01,2024-01-31,,,,,
154,NILE,Nile,2024-02-01,2024-02-29,,,,,
155,NILE,Nile,2024-03-01,2024-03-15,,,,,
