index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
105,ORAN,Orange,05/01/2016,05/07/2016,,,,,
106,ORAN,Orange,05/08/2016,05/14/2016,,,,,
107,ORAN,Orange,05/15/2016,05/21/2016,,,,,
108,ORAN,Orange,05/22/2016,05/28/2016,,,,,
109,ORAN,Orange,05/29/2016,06/04/2016,,,,,
110,ORAN,Orange,06/05/2016,06/11/2016,,,,,
111,ORAN,Orange,06/12/2016,06/18/2016,,,,,
112,ORAN,Orange,06/19/2016,06/25/2016,,,,,
113,ORAN,Orange,06/26/2016,07/02/2016,,,,,
114,ORAN,Orange,07/03/2016,07/09/2016,,,,,
115,ORAN,Orange,07/10/2016,07/16/2016,,,,,
116,ORAN,Orange,07/17/2016,07/23/2016,,,,,
117,ORAN,Orange,07/24/2016,07/30/2016,,,,,
118,ORAN,Orange,07/31/2016,08/06/2016,,,,,
119,ORAN,Orange,08/07/2016,08/13/2016,,,,,
120,ORAN,Orange,08/14/2016,08/20/2016,,,,,
121,ORAN,Orange,08/21/2016,08/27/2016,,,,,
122,ORAN,Orange,08/28/2016,09/03/2016,,,,,
123,ORAN,Orange,09/04/2016,09/10/2016,,,,,
124,ORAN,Orange,09/11/2016,09/17/2016,,,,,
125,ORAN,Orange,09/18/2016,09/24/2016,,,,,
126,ORAN,Orange,09/25/2016,10/01/2016,,,,,
127,ORAN,Orange,10/02/2016,10/08/2016,,,,,
128,ORAN,Orange,10/09/2016,10/15/2016,,,,,
129,ORAN,Orange,10/16/2016,10/22/2016,,,,,
130,ORAN,Orange,10/23/2016,10/29/2016,,,,,
131,ORAN,Orange,10/30/2016,11/05/2016,,,,,
132,ORAN,Orange,11/06/2016,11/12/2016,,,,,
133,ORAN,Orange,11/13/2016,11/19/2016,,,,,
134,ORAN,Orange,11/20/2016,11/26/2016,,,,,
135,ORAN,Orange,11/27/2016,12/03/2016,,,,,
136,ORAN,Orange,12/04/2016,12/10/2016,,,,,
137,ORAN,Orange,12/11/2016,12/17/2016,,,,,
138,ORAN,Orange,12/18/2016,12/24/2016,,,,,
139,ORAN,Orange,12/25/2016,12/31/2016,,,,,
140,ORAN,Orange,01/01/2017,01/07/2017,,,,,
141,ORAN,Orange,01/08/2017,01/14/2017,,,,,
142,ORAN,Orange,01/15/2017,01/21/2017,,,,,
143,ORAN,Orange,01/22/2017,01/28/2017,,,,,
144,ORAN,Orange,01/29/2017,02/04/2017,,,,,
145,ORAN,Orange,02/05/2017,02/11/2017,,,,,
146,ORAN,Orange,02/12/2017,02/18/2017,,,,,
