index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,PSCU,Pascua,10/21/2021,07/01/2023,,,,,
1,PSCU,Pascua,07/02/2023,03/15/2024,,,,,
