,basin,start,stop,finished
0,hi,1,10,1
1,hi,11,20,1
2,hi,21,30,1
3,hi,31,40,1
4,hi,41,50,1
5,hi,51,60,1
6,hi,61,70,1
7,hi,71,80,1
